;age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
29922;33;1;1;2;0;0;2;0;0;1;780;2;999;0;1;-1.8;93.075;-47.1;1.405;5099.1;0
12819;35;7;0;3;0;1;1;0;3;3;96;2;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
9282;47;1;1;0;0;2;0;1;4;0;252;2;999;0;1;1.4;94.465;-41.8;4.967;5228.1;0
915;47;7;1;3;1;2;0;1;6;4;127;1;999;0;1;1.1;93.994;-36.4;4.856;5191.0;0
22832;54;3;1;0;0;0;0;0;1;1;72;2;999;0;1;1.4;93.444;-36.1;4.965;5228.1;0
1241;54;9;1;2;0;0;0;1;6;2;193;1;999;0;1;1.1;93.994;-36.4;4.855;5191.0;0
19722;31;9;1;6;0;2;2;0;1;2;265;3;999;0;1;1.4;93.444;-36.1;4.968;5228.1;0
5253;27;9;1;6;0;0;0;1;6;0;125;3;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
34828;25;4;1;6;0;0;0;0;6;2;506;2;999;0;1;-1.8;92.893;-46.2;1.266;5099.1;0
1917;32;7;1;3;0;2;0;1;6;0;432;2;999;0;1;1.1;93.994;-36.4;4.855;5191.0;0
25558;43;1;1;2;0;2;0;0;7;4;239;1;999;0;1;-0.1;93.2;-42.0;4.12;5195.8;0
18361;30;0;2;3;0;0;0;0;3;2;160;4;999;0;1;1.4;93.918;-42.7;4.968;5228.1;0
26008;43;0;1;6;0;0;0;0;7;4;748;2;999;0;1;-0.1;93.2;-42.0;4.12;5195.8;0
18954;44;0;0;3;0;2;0;0;1;1;99;2;999;0;1;1.4;93.444;-36.1;4.97;5228.1;0
29361;35;1;1;1;0;0;0;0;0;0;672;3;999;0;1;-1.8;93.075;-47.1;1.405;5099.1;0
40048;46;0;1;3;0;2;2;0;3;3;396;1;13;2;2;-1.7;94.215;-40.3;0.797;4991.6;1
14243;44;2;1;3;0;2;0;0;3;1;64;3;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
39948;37;10;2;6;0;0;0;0;4;0;249;2;999;0;1;-1.7;94.055;-39.8;0.748;4991.6;0
31644;43;1;1;2;0;2;0;0;6;2;83;1;999;0;1;-1.8;92.893;-46.2;1.327;5099.1;0
37634;29;4;2;6;0;0;0;0;1;1;300;1;999;0;1;-2.9;92.201;-31.4;0.861;5076.2;0
28803;24;4;2;6;0;0;0;0;0;2;640;2;999;0;1;-1.8;93.075;-47.1;1.41;5099.1;0
4858;47;0;1;6;0;2;0;1;6;4;34;3;999;0;1;1.1;93.994;-36.4;4.858;5191.0;0
15986;31;1;2;3;0;0;0;0;3;3;78;2;999;0;1;1.4;93.918;-42.7;4.961;5228.1;0
17433;55;0;1;6;0;0;0;0;3;1;73;4;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
37714;38;7;2;3;0;2;0;0;1;2;83;5;999;0;1;-2.9;92.201;-31.4;0.851;5076.2;0
4237;41;2;2;6;1;2;0;1;6;3;19;1;999;0;1;1.1;93.994;-36.4;4.856;5191.0;0
25782;52;9;2;0;1;2;0;0;7;4;208;1;999;0;1;-0.1;93.2;-42.0;4.12;5195.8;0
9430;29;9;1;6;0;0;2;1;4;0;252;4;999;0;1;1.4;94.465;-41.8;4.967;5228.1;0
3431;28;9;2;5;0;2;0;1;6;2;760;2;999;0;1;1.1;93.994;-36.4;4.86;5191.0;0
281;56;9;1;0;0;2;0;1;6;1;143;3;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
13437;48;9;2;5;0;2;2;1;3;4;17;1;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
13626;39;10;1;0;1;0;0;0;3;2;120;1;999;0;1;1.4;93.918;-42.7;4.963;5228.1;0
3732;35;9;1;2;0;0;0;1;6;0;433;1;999;0;1;1.1;93.994;-36.4;4.859;5191.0;0
13717;46;1;2;2;1;0;0;0;3;2;210;1;999;0;1;1.4;93.918;-42.7;4.963;5228.1;0
2668;51;1;1;0;0;2;0;1;6;4;438;2;999;0;1;1.1;93.994;-36.4;4.859;5191.0;0
30908;40;0;2;5;0;2;0;0;6;3;43;1;999;1;0;-1.8;92.893;-46.2;1.344;5099.1;0
40302;34;0;1;6;0;2;0;0;3;2;417;1;6;3;2;-1.7;94.215;-40.3;0.899;4991.6;1
29732;30;9;0;6;0;0;0;0;0;1;281;1;999;0;1;-1.8;93.075;-47.1;1.405;5099.1;0
14848;37;7;0;2;0;0;0;0;3;4;885;1;999;0;1;1.4;93.918;-42.7;4.957;5228.1;0
6579;50;3;1;2;1;1;1;1;6;4;66;7;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
10747;35;0;1;6;0;0;2;1;4;3;544;3;999;0;1;1.4;94.465;-41.8;4.961;5228.1;0
23885;45;0;1;3;0;2;0;0;1;0;130;2;999;0;1;1.4;93.444;-36.1;4.963;5228.1;0
40607;34;9;1;5;0;1;1;0;9;0;126;1;6;4;2;-1.1;94.199;-37.5;0.883;4963.6;0
14917;51;0;1;3;0;2;0;0;3;4;69;3;999;0;1;1.4;93.918;-42.7;4.957;5228.1;0
39713;34;0;1;6;0;0;0;0;6;0;145;1;999;2;0;-1.8;93.876;-40.0;0.695;5008.7;0
28170;38;1;1;2;0;0;0;0;0;1;357;2;999;1;0;-1.8;93.075;-47.1;1.466;5099.1;0
8575;27;6;2;6;0;2;2;1;4;4;161;1;999;0;1;1.4;94.465;-41.8;4.864;5228.1;0
17321;46;0;1;3;1;2;0;0;3;1;151;2;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
21696;55;7;1;3;0;2;0;0;1;3;392;3;999;0;1;1.4;93.444;-36.1;4.963;5228.1;0
32879;57;9;1;3;0;0;2;0;6;1;161;1;999;0;1;-1.8;92.893;-46.2;1.299;5099.1;0
7699;31;1;2;7;0;2;0;1;6;0;273;2;999;0;1;1.1;93.994;-36.4;4.864;5191.0;0
6085;37;9;1;6;0;0;0;1;6;3;173;3;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
31585;43;7;1;3;0;2;0;0;6;2;197;1;999;0;1;-1.8;92.893;-46.2;1.327;5099.1;0
8286;46;10;0;2;0;2;0;1;4;3;231;2;999;0;1;1.4;94.465;-41.8;4.864;5228.1;0
24094;47;8;2;7;0;1;1;1;7;1;145;1;999;0;1;-0.1;93.2;-42.0;4.406;5195.8;1
28849;28;9;1;2;0;2;0;0;0;2;137;1;999;0;1;-1.8;93.075;-47.1;1.41;5099.1;0
12327;43;1;0;0;1;0;0;1;3;0;195;1;999;0;1;1.4;93.918;-42.7;4.959;5228.1;0
19686;56;9;1;5;0;2;0;0;1;2;124;3;999;0;1;1.4;93.444;-36.1;4.968;5228.1;0
22000;36;9;1;5;0;2;0;0;1;4;174;1;999;0;1;1.4;93.444;-36.1;4.964;5228.1;0
11899;29;0;1;6;0;2;0;1;4;0;9;16;999;0;1;1.4;94.465;-41.8;4.959;5228.1;0
21247;50;1;1;2;0;2;2;0;1;1;68;3;999;0;1;1.4;93.444;-36.1;4.963;5228.1;0
35378;24;7;2;3;0;2;2;0;6;0;69;2;999;2;0;-1.8;92.893;-46.2;1.25;5099.1;0
40234;60;0;1;2;0;0;0;0;3;2;174;2;25;2;0;-1.7;94.215;-40.3;0.884;4991.6;1
38266;55;9;1;5;0;0;0;0;8;3;285;1;999;0;1;-3.4;92.431;-26.9;0.742;5017.5;0
34739;28;7;2;5;0;0;0;1;6;2;210;2;999;0;1;-1.8;92.893;-46.2;1.266;5099.1;0
39508;71;5;1;0;0;0;0;1;0;1;92;8;999;0;1;-1.8;93.749;-34.6;0.645;5008.7;0
38651;22;9;2;5;0;2;0;0;7;3;358;1;999;0;1;-3.4;92.649;-30.1;0.72;5017.5;1
29528;37;1;1;3;0;2;0;0;0;1;9;5;999;0;1;-1.8;93.075;-47.1;1.405;5099.1;0
33968;33;0;2;3;0;2;0;0;6;4;135;1;999;1;0;-1.8;92.893;-46.2;1.281;5099.1;0
26111;30;1;1;2;0;0;0;0;7;4;167;2;999;0;1;-0.1;93.2;-42.0;4.12;5195.8;0
8300;27;1;1;2;0;0;0;1;4;3;208;1;999;0;1;1.4;94.465;-41.8;4.864;5228.1;0
13752;41;2;0;5;0;0;0;0;3;2;82;5;999;0;1;1.4;93.918;-42.7;4.963;5228.1;0
41046;60;0;1;3;0;0;0;0;8;3;604;1;999;1;0;-1.1;94.601;-49.5;1.037;4963.6;1
29375;41;1;1;0;0;0;0;0;0;0;191;4;999;1;0;-1.8;93.075;-47.1;1.405;5099.1;0
2891;31;1;1;1;1;2;0;1;6;4;251;2;999;0;1;1.1;93.994;-36.4;4.859;5191.0;0
35717;48;7;1;3;0;2;0;0;6;1;173;2;999;0;1;-1.8;92.893;-46.2;1.244;5099.1;0
39483;49;0;0;3;0;0;0;0;0;4;381;2;999;0;1;-1.8;93.749;-34.6;0.642;5008.7;0
29371;60;5;1;0;1;2;0;0;0;0;314;2;999;0;1;-1.8;93.075;-47.1;1.405;5099.1;1
13053;34;2;2;2;0;2;0;0;3;3;38;2;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
28451;34;0;1;6;0;2;0;0;0;3;565;2;999;0;1;-1.8;93.075;-47.1;1.423;5099.1;0
14238;30;0;2;6;0;0;0;0;3;1;171;4;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
18877;57;0;1;3;1;2;0;0;1;1;86;1;999;0;1;1.4;93.444;-36.1;4.97;5228.1;0
13823;32;1;0;5;0;2;0;0;3;0;122;2;999;0;1;1.4;93.918;-42.7;4.963;5228.1;0
30996;53;10;1;2;1;2;0;0;6;3;67;4;999;0;1;-1.8;92.893;-46.2;1.344;5099.1;0
40462;65;5;1;5;0;2;0;0;1;3;170;2;999;0;1;-1.7;94.027;-38.3;0.904;4991.6;0
22041;32;9;1;5;0;0;0;0;1;4;67;4;999;0;1;1.4;93.444;-36.1;4.964;5228.1;0
16894;50;1;1;2;1;0;0;0;3;2;16;1;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
40200;66;5;1;0;0;2;0;0;3;1;568;7;999;0;1;-1.7;94.215;-40.3;0.87;4991.6;1
17829;57;5;2;7;1;2;0;0;3;3;189;19;999;0;1;1.4;93.918;-42.7;4.961;5228.1;0
6939;35;0;1;6;0;2;0;1;6;2;162;5;999;0;1;1.1;93.994;-36.4;4.86;5191.0;0
11991;42;4;1;6;0;0;0;1;4;4;168;8;999;0;1;1.4;94.465;-41.8;4.958;5228.1;0
37340;42;0;2;6;0;0;0;0;1;3;982;1;999;0;1;-2.9;92.201;-31.4;0.883;5076.2;0
26992;39;0;1;6;0;2;0;1;7;2;442;4;999;0;1;-0.1;93.2;-42.0;4.076;5195.8;0
18189;42;0;2;3;1;2;0;0;3;4;145;3;999;0;1;1.4;93.918;-42.7;4.963;5228.1;0
22189;29;0;2;6;0;0;0;0;1;2;117;2;999;0;1;1.4;93.444;-36.1;4.963;5228.1;0
16354;34;1;1;2;0;2;0;0;3;4;487;5;999;0;1;1.4;93.918;-42.7;4.963;5228.1;0
30659;38;0;1;6;0;0;0;1;6;3;11;6;999;0;1;-1.8;92.893;-46.2;1.344;5099.1;0
18514;32;0;1;3;0;0;0;0;3;2;662;11;999;0;1;1.4;93.918;-42.7;4.968;5228.1;1
6803;33;0;0;6;0;2;0;1;6;4;1277;2;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
8735;34;7;1;6;0;0;0;1;4;4;175;1;999;0;1;1.4;94.465;-41.8;4.864;5228.1;0
41159;35;9;0;0;0;2;0;0;7;3;514;1;9;4;2;-1.1;94.767;-50.8;1.035;4963.6;1
14349;31;1;1;3;0;0;2;0;3;1;218;3;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
22701;32;9;1;5;0;1;1;1;1;0;9;2;999;0;1;1.4;93.444;-36.1;4.964;5228.1;0
3621;52;9;1;5;0;0;0;1;6;0;145;1;999;0;1;1.1;93.994;-36.4;4.859;5191.0;0
11101;59;5;1;2;0;0;0;1;4;2;297;1;999;0;1;1.4;94.465;-41.8;4.961;5228.1;0
4686;36;9;2;6;0;0;0;1;6;4;86;1;999;0;1;1.1;93.994;-36.4;4.858;5191.0;0
28752;33;9;1;5;0;0;2;0;0;2;667;1;999;0;1;-1.8;93.075;-47.1;1.41;5099.1;1
1489;60;5;0;3;0;2;0;1;6;2;223;2;999;0;1;1.1;93.994;-36.4;4.855;5191.0;0
28837;38;2;1;0;1;2;0;0;0;2;691;1;999;0;1;-1.8;93.075;-47.1;1.41;5099.1;0
8892;50;1;1;0;0;1;1;1;4;2;80;2;999;0;1;1.4;94.465;-41.8;4.866;5228.1;0
31489;32;7;1;3;0;2;0;1;6;4;309;3;999;1;0;-1.8;92.893;-46.2;1.334;5099.1;0
4313;31;0;1;3;1;0;0;1;6;3;345;1;999;0;1;1.1;93.994;-36.4;4.856;5191.0;0
25997;29;1;1;5;0;0;0;0;7;4;54;1;999;0;1;-0.1;93.2;-42.0;4.12;5195.8;0
13153;51;4;1;6;0;2;0;0;3;4;65;1;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
39378;68;5;0;0;0;2;0;0;5;3;277;2;11;1;2;-1.8;93.369;-34.8;0.635;5008.7;1
1542;40;4;1;3;0;0;0;1;6;2;104;3;999;0;1;1.1;93.994;-36.4;4.855;5191.0;0
19703;30;0;2;6;0;0;0;0;1;2;1336;4;999;0;1;1.4;93.444;-36.1;4.968;5228.1;1
21868;30;0;2;6;0;2;0;0;1;4;202;1;999;0;1;1.4;93.444;-36.1;4.964;5228.1;0
33420;34;0;2;6;0;0;0;0;6;3;271;1;999;1;0;-1.8;92.893;-46.2;1.291;5099.1;0
9417;42;0;2;6;0;2;0;1;4;0;520;3;999;0;1;1.4;94.465;-41.8;4.967;5228.1;0
30643;45;0;1;6;0;2;2;1;6;1;157;3;999;0;1;-1.8;92.893;-46.2;1.354;5099.1;0
15534;36;1;1;2;0;0;2;0;3;0;118;3;999;0;1;1.4;93.918;-42.7;4.957;5228.1;0
29909;35;9;1;6;0;2;0;0;0;1;20;4;999;0;1;-1.8;93.075;-47.1;1.405;5099.1;0
3430;53;0;1;2;0;2;2;1;6;2;548;1;999;0;1;1.1;93.994;-36.4;4.86;5191.0;0
12249;53;9;0;5;0;0;0;1;3;2;115;4;999;0;1;1.4;93.918;-42.7;4.966;5228.1;0
13975;27;7;2;3;0;0;0;0;3;0;239;8;999;0;1;1.4;93.918;-42.7;4.963;5228.1;0
2658;37;9;1;6;0;0;0;1;6;4;360;2;999;0;1;1.1;93.994;-36.4;4.859;5191.0;0
14354;30;1;1;2;0;0;0;0;3;1;171;3;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
22871;48;1;1;2;0;2;0;0;1;1;9;6;999;0;1;1.4;93.444;-36.1;4.965;5228.1;0
35619;30;0;2;6;0;2;0;0;6;1;114;2;999;0;1;-1.8;92.893;-46.2;1.244;5099.1;0
7062;28;1;1;2;1;0;0;1;6;2;92;1;999;0;1;1.1;93.994;-36.4;4.86;5191.0;0
2687;45;7;0;3;1;2;0;1;6;4;101;2;999;0;1;1.1;93.994;-36.4;4.859;5191.0;0
27911;68;5;1;0;0;0;0;0;5;2;331;4;999;0;1;-1.8;92.843;-50.0;1.538;5099.1;1
31454;37;0;2;3;0;0;0;0;6;4;151;2;999;0;1;-1.8;92.893;-46.2;1.334;5099.1;0
33102;41;1;1;2;0;2;0;0;6;3;217;3;999;0;1;-1.8;92.893;-46.2;1.291;5099.1;0
19405;58;5;1;5;0;2;0;0;1;4;406;3;999;0;1;1.4;93.444;-36.1;4.967;5228.1;0
15004;29;0;1;3;0;0;0;0;3;2;48;7;999;0;1;1.4;93.918;-42.7;4.958;5228.1;0
36072;49;4;2;6;0;2;2;0;6;3;141;1;999;1;0;-1.8;92.893;-46.2;1.266;5099.1;0
37124;31;0;2;6;0;0;0;0;1;3;138;1;15;1;2;-2.9;92.201;-31.4;0.884;5076.2;0
7863;44;0;2;3;0;0;0;1;4;1;164;1;999;0;1;1.4;94.465;-41.8;4.865;5228.1;0
36006;31;0;1;6;0;2;0;0;6;3;1078;1;999;0;1;-1.8;92.893;-46.2;1.266;5099.1;1
37884;63;5;1;6;0;2;0;0;1;1;79;1;6;2;0;-2.9;92.201;-31.4;0.821;5076.2;0
24189;43;7;1;0;0;2;0;0;7;1;92;1;999;0;1;-0.1;93.2;-42.0;4.191;5195.8;0
19047;47;4;1;6;0;0;0;0;1;3;88;1;999;0;1;1.4;93.444;-36.1;4.968;5228.1;0
35822;25;10;1;6;0;0;0;0;6;1;32;8;10;1;2;-1.8;92.893;-46.2;1.244;5099.1;0
9092;54;5;1;5;0;2;0;1;4;0;40;2;999;0;1;1.4;94.465;-41.8;4.967;5228.1;0
6930;45;1;1;2;0;0;0;1;6;2;129;2;999;0;1;1.1;93.994;-36.4;4.86;5191.0;0
38379;41;1;1;2;0;0;0;0;8;1;104;1;999;0;1;-3.4;92.431;-26.9;0.739;5017.5;0
36633;29;0;2;6;0;0;0;1;4;2;247;2;999;0;1;-2.9;92.963;-40.8;1.26;5076.2;0
26625;31;10;2;5;0;0;0;0;7;2;250;1;999;1;0;-0.1;93.2;-42.0;4.076;5195.8;0
41087;30;1;2;5;0;2;0;0;7;3;111;2;999;0;1;-1.1;94.767;-50.8;1.049;4963.6;0
35673;32;4;2;6;1;2;0;0;6;1;61;4;999;1;0;-1.8;92.893;-46.2;1.244;5099.1;0
9194;39;0;2;3;0;2;0;1;4;0;141;3;999;0;1;1.4;94.465;-41.8;4.967;5228.1;0
6424;47;0;1;6;1;0;0;1;6;4;91;3;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
31445;52;0;2;7;1;0;2;0;6;4;346;3;999;0;1;-1.8;92.893;-46.2;1.334;5099.1;0
31485;48;2;2;5;0;2;0;0;6;4;606;3;999;0;1;-1.8;92.893;-46.2;1.334;5099.1;0
25231;57;0;1;6;0;0;2;0;7;3;192;2;999;0;1;-0.1;93.2;-42.0;4.153;5195.8;0
13079;54;0;1;3;0;2;0;0;3;3;369;3;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
14816;31;6;1;2;0;0;0;0;3;4;155;2;999;0;1;1.4;93.918;-42.7;4.957;5228.1;0
8357;33;1;2;2;1;2;0;1;4;3;114;3;999;0;1;1.4;94.465;-41.8;4.864;5228.1;0
5893;47;1;1;2;0;2;0;1;6;1;140;2;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
13541;31;1;1;2;0;2;0;1;3;2;364;1;999;0;1;1.4;93.918;-42.7;4.963;5228.1;0
30600;29;4;1;6;0;0;0;1;6;1;150;5;999;0;1;-1.8;92.893;-46.2;1.354;5099.1;0
33425;36;0;2;2;0;2;0;0;6;3;458;1;999;0;1;-1.8;92.893;-46.2;1.291;5099.1;1
25798;38;2;0;2;0;2;2;0;7;4;70;1;999;0;1;-0.1;93.2;-42.0;4.12;5195.8;0
21994;30;0;2;6;0;0;2;0;1;4;69;2;999;0;1;1.4;93.444;-36.1;4.964;5228.1;0
29094;33;0;2;6;1;0;2;0;0;0;526;1;999;0;1;-1.8;93.075;-47.1;1.405;5099.1;1
8700;28;0;1;3;0;0;0;1;4;4;84;3;999;0;1;1.4;94.465;-41.8;4.864;5228.1;0
1531;55;9;1;6;0;2;0;1;6;2;123;2;999;0;1;1.1;93.994;-36.4;4.855;5191.0;0
22656;42;2;1;3;0;0;0;0;1;0;332;2;999;0;1;1.4;93.444;-36.1;4.964;5228.1;0
6214;45;1;0;0;0;0;0;1;6;3;78;2;999;0;1;1.1;93.994;-36.4;4.857;5191.0;0
22779;33;9;1;5;0;2;0;0;1;1;417;2;999;0;1;1.4;93.444;-36.1;4.965;5228.1;0
12823;48;4;1;3;0;0;0;0;3;3;705;1;999;0;1;1.4;93.918;-42.7;4.962;5228.1;1
24266;45;0;1;3;0;2;0;0;7;1;58;1;999;1;0;-0.1;93.2;-42.0;4.191;5195.8;0
4867;30;1;1;2;0;0;0;1;6;4;252;2;999;0;1;1.1;93.994;-36.4;4.858;5191.0;0
21858;45;4;1;3;1;0;0;0;1;4;110;2;999;0;1;1.4;93.444;-36.1;4.964;5228.1;0
12778;34;0;1;5;0;0;2;0;3;3;82;1;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
13408;57;1;1;0;1;2;0;0;3;4;61;4;999;0;1;1.4;93.918;-42.7;4.962;5228.1;0
